# Map of average order parameters calculated for atom type POPC-C22-32 of molecule type POPC.
# Calculated with 'gorder v0.4.0'.
@ xlabel x-dimension [nm]
@ ylabel y-dimension [nm]
@ zlabel order parameter ($-S_{CH}$)
@ zrange -1.0 0.5 0.25
$ type colorbar
$ colormap seismic_r
0.4000 6.9000 0.0635
0.4000 7.0000 0.0817
0.4000 7.1000 0.0783
0.4000 7.2000 0.0711
0.4000 7.3000 0.0893
0.4000 7.4000 0.0915
0.4000 7.5000 0.1267
0.4000 7.6000 0.0968
0.4000 7.7000 0.1093
0.4000 7.8000 0.1076
0.4000 7.9000 0.0924
0.4000 8.0000 0.0873
0.4000 8.1000 0.0988
0.4000 8.2000 0.0958
0.4000 8.3000 0.0937
0.4000 8.4000 0.0846
0.4000 8.5000 0.1015
0.4000 8.6000 0.1069
0.4000 8.7000 0.1105
0.4000 8.8000 0.1030
0.4000 8.9000 0.0794
0.4000 9.0000 0.0826
0.4000 9.1000 0.0602
0.5000 0.0000 0.0977
0.5000 0.1000 0.0822
0.5000 0.2000 0.0922
0.5000 0.3000 0.0840
0.5000 0.4000 0.0790
0.5000 0.5000 0.0757
0.5000 0.6000 0.0837
0.5000 0.7000 0.0569
0.5000 0.8000 0.0875
0.5000 0.9000 0.1004
0.5000 1.0000 0.1139
0.5000 1.1000 0.1074
0.5000 1.2000 0.1162
0.5000 1.3000 0.0852
0.5000 1.4000 0.0859
0.5000 1.5000 0.0880
0.5000 1.6000 0.1058
0.5000 1.7000 0.1083
0.5000 1.8000 0.0709
0.5000 1.9000 0.0781
0.5000 2.0000 0.0713
0.5000 2.1000 0.0625
0.5000 2.2000 0.0808
0.5000 2.3000 0.0789
0.5000 2.4000 0.1144
0.5000 2.5000 0.0916
0.5000 2.6000 0.0717
0.5000 2.7000 0.0885
0.5000 2.8000 0.1011
0.5000 2.9000 0.0822
0.5000 3.0000 0.0795
0.5000 3.1000 0.0815
0.5000 3.2000 0.1310
0.5000 3.3000 0.1101
0.5000 3.4000 0.0934
0.5000 3.5000 0.1111
0.5000 3.6000 0.1037
0.5000 3.7000 0.1029
0.5000 3.8000 0.1076
0.5000 3.9000 0.1062
0.5000 4.0000 0.1091
0.5000 4.1000 0.0880
0.5000 4.2000 0.0675
0.5000 4.3000 0.0778
0.5000 4.4000 0.0935
0.5000 4.5000 0.1086
0.5000 4.6000 0.0871
0.5000 4.7000 0.0830
0.5000 4.8000 0.0876
0.5000 4.9000 0.1156
0.5000 5.0000 0.0956
0.5000 5.1000 0.0955
0.5000 5.2000 0.0695
0.5000 5.3000 0.0768
0.5000 5.4000 0.0933
0.5000 5.5000 0.0992
0.5000 5.6000 0.0824
0.5000 5.7000 0.0757
0.5000 5.8000 0.0815
0.5000 5.9000 0.0890
0.5000 6.0000 0.0841
0.5000 6.1000 0.1104
0.5000 6.2000 0.1309
0.5000 6.3000 0.1228
0.5000 6.4000 0.0755
0.5000 6.5000 0.1012
0.5000 6.6000 0.0776
0.5000 6.7000 0.0587
0.5000 6.8000 0.0498
0.5000 6.9000 0.0832
0.5000 7.0000 0.0913
0.5000 7.1000 0.0958
0.5000 7.2000 0.0734
0.5000 7.3000 0.0680
0.5000 7.4000 0.0834
0.5000 7.5000 0.0915
0.5000 7.6000 0.0925
0.5000 7.7000 0.1051
0.5000 7.8000 0.1066
0.5000 7.9000 0.0905
0.5000 8.0000 0.1118
0.5000 8.1000 0.1019
0.5000 8.2000 0.0991
0.5000 8.3000 0.0894
0.5000 8.4000 0.1006
0.5000 8.5000 0.0777
0.5000 8.6000 0.0950
0.5000 8.7000 0.1193
0.5000 8.8000 0.1163
0.5000 8.9000 0.1232
0.5000 9.0000 0.0789
0.5000 9.1000 0.1001
0.6000 0.0000 0.1253
0.6000 0.1000 0.0825
0.6000 0.2000 0.0856
0.6000 0.3000 0.0932
0.6000 0.4000 0.0847
0.6000 0.5000 0.0793
0.6000 0.6000 0.0918
0.6000 0.7000 0.0803
0.6000 0.8000 0.0978
0.6000 0.9000 0.0934
0.6000 1.0000 0.0915
0.6000 1.1000 0.0882
0.6000 1.2000 0.0886
0.6000 1.3000 0.0908
0.6000 1.4000 0.0991
0.6000 1.5000 0.1029
0.6000 1.6000 0.1232
0.6000 1.7000 0.1080
0.6000 1.8000 0.0764
0.6000 1.9000 0.0775
0.6000 2.0000 0.0843
0.6000 2.1000 0.0921
0.6000 2.2000 0.0680
0.6000 2.3000 0.0746
0.6000 2.4000 0.0930
0.6000 2.5000 0.0733
0.6000 2.6000 0.0495
0.6000 2.7000 0.0606
0.6000 2.8000 0.0725
0.6000 2.9000 0.0761
0.6000 3.0000 0.0960
0.6000 3.1000 0.1054
0.6000 3.2000 0.0908
0.6000 3.3000 0.0979
0.6000 3.4000 0.0984
0.6000 3.5000 0.0957
0.6000 3.6000 0.0793
0.6000 3.7000 0.1051
0.6000 3.8000 0.0933
0.6000 3.9000 0.1018
0.6000 4.0000 0.1040
0.6000 4.1000 0.0822
0.6000 4.2000 0.0606
0.6000 4.3000 0.0871
0.6000 4.4000 0.0881
0.6000 4.5000 0.0959
0.6000 4.6000 0.0847
0.6000 4.7000 0.0840
0.6000 4.8000 0.1033
0.6000 4.9000 0.0994
0.6000 5.0000 0.1010
0.6000 5.1000 0.0813
0.6000 5.2000 0.0707
0.6000 5.3000 0.0761
0.6000 5.4000 0.0871
0.6000 5.5000 0.0814
0.6000 5.6000 0.0976
0.6000 5.7000 0.0958
0.6000 5.8000 0.0753
0.6000 5.9000 0.1019
0.6000 6.0000 0.0772
0.6000 6.1000 0.1026
0.6000 6.2000 0.0927
0.6000 6.3000 0.1133
0.6000 6.4000 0.1136
0.6000 6.5000 0.0806
0.6000 6.6000 0.0814
0.6000 6.7000 0.0662
0.6000 6.8000 0.0582
0.6000 6.9000 0.0667
0.6000 7.0000 0.0919
0.6000 7.1000 0.1068
0.6000 7.2000 0.1031
0.6000 7.3000 0.0814
0.6000 7.4000 0.0893
0.6000 7.5000 0.0795
0.6000 7.6000 0.0935
0.6000 7.7000 0.1092
0.6000 7.8000 0.1121
0.6000 7.9000 0.1016
0.6000 8.0000 0.0947
0.6000 8.1000 0.0903
0.6000 8.2000 0.0860
0.6000 8.3000 0.1043
0.6000 8.4000 0.0785
0.6000 8.5000 0.0934
0.6000 8.6000 0.0972
0.6000 8.7000 0.1261
0.6000 8.8000 0.1199
0.6000 8.9000 0.1137
0.6000 9.0000 0.0926
0.6000 9.1000 0.0868
0.7000 0.0000 0.1204
0.7000 0.1000 0.0884
0.7000 0.2000 0.0970
0.7000 0.3000 0.0941
0.7000 0.4000 0.1027
0.7000 0.5000 0.0830
0.7000 0.6000 0.0861
0.7000 0.7000 0.0846
0.7000 0.8000 0.0925
0.7000 0.9000 0.0823
0.7000 1.0000 0.0711
0.7000 1.1000 0.0909
0.7000 1.2000 0.1017
