# Map of average order parameters calculated for all bonds of all molecule types.
# Calculated with 'gorder v0.5.0-dev.1'.
@ xlabel x-dimension [nm]
@ ylabel y-dimension [nm]
@ zlabel order parameter ($-S_{CH}$)
@ zrange -1.0 0.5 0.25
$ type colorbar
$ colormap seismic_r
0.5000 5.0000 0.1417
0.5000 5.1000 0.1460
0.5000 5.2000 0.1481
0.5000 5.3000 0.1325
0.5000 5.4000 0.1488
0.5000 5.5000 0.1327
0.5000 5.6000 0.1351
0.5000 5.7000 0.1306
0.5000 5.8000 0.1401
0.5000 5.9000 0.1407
0.5000 6.0000 0.1429
0.5000 6.1000 0.1457
0.5000 6.2000 0.1530
0.5000 6.3000 0.1407
0.5000 6.4000 0.1475
0.5000 6.5000 0.1700
0.5000 6.6000 NaN
0.5000 6.7000 NaN
0.5000 6.8000 NaN
0.5000 6.9000 NaN
0.5000 7.0000 NaN
0.5000 7.1000 NaN
0.5000 7.2000 NaN
0.5000 7.3000 NaN
0.5000 7.4000 NaN
0.5000 7.5000 NaN
0.5000 7.6000 NaN
0.5000 7.7000 NaN
0.5000 7.8000 NaN
0.5000 7.9000 NaN
0.6000 0.0000 NaN
0.6000 0.1000 NaN
0.6000 0.2000 NaN
0.6000 0.3000 NaN
0.6000 0.4000 NaN
0.6000 0.5000 NaN
0.6000 0.6000 NaN
0.6000 0.7000 NaN
0.6000 0.8000 NaN
0.6000 0.9000 NaN
0.6000 1.0000 NaN
0.6000 1.1000 NaN
0.6000 1.2000 NaN
0.6000 1.3000 NaN
0.6000 1.4000 NaN
0.6000 1.5000 0.1576
0.6000 1.6000 0.1469
0.6000 1.7000 0.1413
0.6000 1.8000 0.1510
0.6000 1.9000 0.1481
0.6000 2.0000 0.1549
0.6000 2.1000 0.1368
0.6000 2.2000 0.1293
0.6000 2.3000 0.1353
0.6000 2.4000 0.1453
0.6000 2.5000 0.1446
0.6000 2.6000 0.1424
0.6000 2.7000 0.1501
0.6000 2.8000 0.1533
0.6000 2.9000 0.1443
0.6000 3.0000 0.1515
0.6000 3.1000 0.1445
0.6000 3.2000 0.1415
0.6000 3.3000 0.1514
0.6000 3.4000 0.1339
0.6000 3.5000 0.1397
0.6000 3.6000 0.1340
0.6000 3.7000 0.1451
0.6000 3.8000 0.1483
0.6000 3.9000 0.1408
0.6000 4.0000 0.1386
0.6000 4.1000 0.1423
0.6000 4.2000 0.1375
0.6000 4.3000 0.1402
0.6000 4.4000 0.1369
0.6000 4.5000 0.1371
0.6000 4.6000 0.1386
0.6000 4.7000 0.1263
0.6000 4.8000 0.1408
0.6000 4.9000 0.1390
0.6000 5.0000 0.1307
0.6000 5.1000 0.1362
0.6000 5.2000 0.1376
0.6000 5.3000 0.1355
0.6000 5.4000 0.1397
0.6000 5.5000 0.1391
0.6000 5.6000 0.1426
0.6000 5.7000 0.1411
0.6000 5.8000 0.1449
0.6000 5.9000 0.1424
0.6000 6.0000 0.1418
0.6000 6.1000 0.1446
0.6000 6.2000 0.1489
0.6000 6.3000 0.1438
0.6000 6.4000 0.1471
0.6000 6.5000 0.1474
0.6000 6.6000 NaN
0.6000 6.7000 NaN
0.6000 6.8000 NaN
0.6000 6.9000 NaN
0.6000 7.0000 NaN
0.6000 7.1000 NaN
0.6000 7.2000 NaN
0.6000 7.3000 NaN
0.6000 7.4000 NaN
0.6000 7.5000 NaN
0.6000 7.6000 NaN
0.6000 7.7000 NaN
0.6000 7.8000 NaN
0.6000 7.9000 NaN
0.7000 0.0000 NaN
0.7000 0.1000 NaN
0.7000 0.2000 NaN
0.7000 0.3000 NaN
0.7000 0.4000 NaN
0.7000 0.5000 NaN
0.7000 0.6000 NaN
0.7000 0.7000 NaN
0.7000 0.8000 NaN
0.7000 0.9000 NaN
0.7000 1.0000 NaN
0.7000 1.1000 NaN
0.7000 1.2000 NaN
0.7000 1.3000 NaN
0.7000 1.4000 NaN
0.7000 1.5000 0.1441
0.7000 1.6000 0.1408
0.7000 1.7000 0.1389
0.7000 1.8000 0.1404
0.7000 1.9000 0.1490
0.7000 2.0000 0.1461
0.7000 2.1000 0.1410
0.7000 2.2000 0.1426
0.7000 2.3000 0.1403
0.7000 2.4000 0.1471
0.7000 2.5000 0.1344
0.7000 2.6000 0.1399
0.7000 2.7000 0.1504
0.7000 2.8000 0.1493
0.7000 2.9000 0.1580
0.7000 3.0000 0.1529
0.7000 3.1000 0.1440
0.7000 3.2000 0.1531
0.7000 3.3000 0.1432
0.7000 3.4000 0.1397
0.7000 3.5000 0.1398
0.7000 3.6000 0.1264
0.7000 3.7000 0.1411
0.7000 3.8000 0.1388
0.7000 3.9000 0.1417
0.7000 4.0000 0.1427
0.7000 4.1000 0.1426
0.7000 4.2000 0.1445
0.7000 4.3000 0.1430
0.7000 4.4000 0.1445
0.7000 4.5000 0.1428
0.7000 4.6000 0.1381
0.7000 4.7000 0.1319
0.7000 4.8000 0.1381
0.7000 4.9000 0.1318
0.7000 5.0000 0.1417
0.7000 5.1000 0.1269
0.7000 5.2000 0.1392
0.7000 5.3000 0.1330
0.7000 5.4000 0.1418
0.7000 5.5000 0.1438
0.7000 5.6000 0.1478
0.7000 5.7000 0.1459
0.7000 5.8000 0.1506
0.7000 5.9000 0.1418
0.7000 6.0000 0.1434
0.7000 6.1000 0.1522
0.7000 6.2000 0.1535
0.7000 6.3000 0.1493
0.7000 6.4000 0.1505
0.7000 6.5000 0.1414
0.7000 6.6000 NaN
0.7000 6.7000 NaN
0.7000 6.8000 NaN
0.7000 6.9000 NaN
0.7000 7.0000 NaN
0.7000 7.1000 NaN
0.7000 7.2000 NaN
0.7000 7.3000 NaN
0.7000 7.4000 NaN
0.7000 7.5000 NaN
0.7000 7.6000 NaN
0.7000 7.7000 NaN
0.7000 7.8000 NaN
0.7000 7.9000 NaN
0.8000 0.0000 NaN
0.8000 0.1000 NaN
0.8000 0.2000 NaN
0.8000 0.3000 NaN
0.8000 0.4000 NaN
0.8000 0.5000 NaN
0.8000 0.6000 NaN
0.8000 0.7000 NaN
0.8000 0.8000 NaN
0.8000 0.9000 NaN
0.8000 1.0000 NaN
0.8000 1.1000 NaN
0.8000 1.2000 NaN
0.8000 1.3000 NaN
0.8000 1.4000 NaN
0.8000 1.5000 0.1451
0.8000 1.6000 0.1463
0.8000 1.7000 0.1490
0.8000 1.8000 0.1455
0.8000 1.9000 0.1438
0.8000 2.0000 0.1437
0.8000 2.1000 0.1446
0.8000 2.2000 0.1411
0.8000 2.3000 0.1410
0.8000 2.4000 0.1391
0.8000 2.5000 0.1448
0.8000 2.6000 0.1391
0.8000 2.7000 0.1412
0.8000 2.8000 0.1428
0.8000 2.9000 0.1454
0.8000 3.0000 0.1532
0.8000 3.1000 0.1460
0.8000 3.2000 0.1522
0.8000 3.3000 0.1368
0.8000 3.4000 0.1341
0.8000 3.5000 0.1433
0.8000 3.6000 0.1395
0.8000 3.7000 0.1382
0.8000 3.8000 0.1423
0.8000 3.9000 0.1408
0.8000 4.0000 0.1306
0.8000 4.1000 0.1362
0.8000 4.2000 0.1441
0.8000 4.3000 0.1409
0.8000 4.4000 0.1493
0.8000 4.5000 0.1389
0.8000 4.6000 0.1424
0.8000 4.7000 0.1405
0.8000 4.8000 0.1377
0.8000 4.9000 0.1313
0.8000 5.0000 0.1348
0.8000 5.1000 0.1385
0.8000 5.2000 0.1365
0.8000 5.3000 0.1352
0.8000 5.4000 0.1405
0.8000 5.5000 0.1427
0.8000 5.6000 0.1431
0.8000 5.7000 0.1453
0.8000 5.8000 0.1423
0.8000 5.9000 0.1467
0.8000 6.0000 0.1544
0.8000 6.1000 0.1506
0.8000 6.2000 0.1571
