# Map of average order parameters calculated for bonds between atom types POPC-C2B-9 and POPC-C3B-10.
# Calculated with 'gorder v0.2.0-beta'.
@ xlabel x-dimension [nm]
@ ylabel y-dimension [nm]
@ zlabel order parameter ($S$)
@ zrange -0.5 1.0 0.25
$ type colorbar
$ colormap seismic_r
0.4000 3.0000 0.4094
0.4000 3.1000 0.3979
0.4000 3.2000 0.4070
0.4000 3.3000 0.4086
0.4000 3.4000 0.4036
0.4000 3.5000 0.4075
0.4000 3.6000 0.4103
0.4000 3.7000 0.4061
0.4000 3.8000 0.4070
0.4000 3.9000 0.4088
0.4000 4.0000 0.4076
0.4000 4.1000 0.4054
0.4000 4.2000 0.4089
0.4000 4.3000 0.4056
0.4000 4.4000 0.4020
0.4000 4.5000 0.4058
0.4000 4.6000 0.4033
0.4000 4.7000 0.4074
0.4000 4.8000 0.4089
0.4000 4.9000 0.4035
0.4000 5.0000 0.4022
0.4000 5.1000 0.4050
0.4000 5.2000 0.4140
0.4000 5.3000 0.4166
0.4000 5.4000 0.4155
0.4000 5.5000 0.4034
0.4000 5.6000 0.4159
0.4000 5.7000 0.4178
0.4000 5.8000 0.4141
0.4000 5.9000 0.4099
0.4000 6.0000 0.4159
0.4000 6.1000 0.4166
0.4000 6.2000 0.4157
0.4000 6.3000 0.4233
0.4000 6.4000 0.4060
0.4000 6.5000 0.4110
0.4000 6.6000 0.4182
0.4000 6.7000 0.4169
0.4000 6.8000 0.4079
0.4000 6.9000 0.4134
0.4000 7.0000 0.4150
0.4000 7.1000 0.4171
0.4000 7.2000 0.4140
0.4000 7.3000 0.4174
0.4000 7.4000 0.4224
0.4000 7.5000 0.4133
0.4000 7.6000 0.4142
0.4000 7.7000 0.4196
0.4000 7.8000 0.4211
0.4000 7.9000 0.4165
0.4000 8.0000 0.4089
0.4000 8.1000 0.4097
0.4000 8.2000 0.4202
0.4000 8.3000 0.4115
0.4000 8.4000 0.4186
0.4000 8.5000 0.4195
0.4000 8.6000 0.4136
0.4000 8.7000 0.4101
0.4000 8.8000 0.4107
0.4000 8.9000 0.4192
0.4000 9.0000 0.4230
0.4000 9.1000 0.4231
0.4000 9.2000 0.4129
0.4000 9.3000 0.4109
0.4000 9.4000 0.4207
0.4000 9.5000 0.4159
0.4000 9.6000 0.4075
0.4000 9.7000 0.4035
0.4000 9.8000 0.4104
0.4000 9.9000 0.4004
0.4000 10.0000 0.4072
0.4000 10.1000 0.4063
0.4000 10.2000 0.4190
0.4000 10.3000 0.4033
0.4000 10.4000 0.4005
0.4000 10.5000 0.4030
0.4000 10.6000 0.4060
0.4000 10.7000 0.4102
0.4000 10.8000 0.4128
0.4000 10.9000 0.4026
0.4000 11.0000 0.4108
0.4000 11.1000 0.4108
0.4000 11.2000 0.4087
0.4000 11.3000 0.4150
0.4000 11.4000 0.3954
0.4000 11.5000 0.3981
0.4000 11.6000 0.4031
0.4000 11.7000 0.4148
0.4000 11.8000 0.4165
0.4000 11.9000 0.3961
0.4000 12.0000 0.3958
0.4000 12.1000 0.4110
0.4000 12.2000 0.4175
0.4000 12.3000 0.4082
0.4000 12.4000 0.4123
0.4000 12.5000 0.4012
0.4000 12.6000 0.4181
0.4000 12.7000 0.3946
0.4000 12.8000 0.4223
0.4000 12.9000 0.4074
0.4000 13.0000 0.4017
0.4000 13.1000 0.4145
0.4000 13.2000 0.4290
0.4000 13.3000 0.4080
0.4000 13.4000 0.4098
0.4000 13.5000 0.4020
0.4000 13.6000 0.4094
0.4000 13.7000 0.4021
0.4000 13.8000 0.4117
0.4000 13.9000 0.4013
0.4000 14.0000 0.4058
0.4000 14.1000 0.4115
0.4000 14.2000 0.3981
0.4000 14.3000 0.4174
0.4000 14.4000 0.3825
0.4000 14.5000 0.3878
0.4000 14.6000 0.4119
0.4000 14.7000 0.3994
0.4000 14.8000 0.4042
0.4000 14.9000 0.4145
0.4000 15.0000 0.3655
0.4000 15.1000 0.3550
0.5000 0.0000 0.3994
0.5000 0.1000 0.3783
0.5000 0.2000 0.4039
0.5000 0.3000 0.3772
0.5000 0.4000 0.4026
0.5000 0.5000 0.3904
0.5000 0.6000 0.4213
0.5000 0.7000 0.4060
0.5000 0.8000 0.4063
0.5000 0.9000 0.3968
0.5000 1.0000 0.4069
0.5000 1.1000 0.3943
0.5000 1.2000 0.3989
0.5000 1.3000 0.4216
0.5000 1.4000 0.4115
0.5000 1.5000 0.4030
0.5000 1.6000 0.4283
0.5000 1.7000 0.4024
0.5000 1.8000 0.4021
0.5000 1.9000 0.4109
0.5000 2.0000 0.4067
0.5000 2.1000 0.4151
0.5000 2.2000 0.4110
0.5000 2.3000 0.4101
0.5000 2.4000 0.4061
0.5000 2.5000 0.3993
0.5000 2.6000 0.4168
0.5000 2.7000 0.4020
0.5000 2.8000 0.4012
0.5000 2.9000 0.4048
0.5000 3.0000 0.3786
0.5000 3.1000 0.4082
0.5000 3.2000 0.3921
0.5000 3.3000 0.4130
0.5000 3.4000 0.4027
0.5000 3.5000 0.4064
0.5000 3.6000 0.4046
0.5000 3.7000 0.4120
0.5000 3.8000 0.4027
0.5000 3.9000 0.3996
0.5000 4.0000 0.4070
0.5000 4.1000 0.4121
0.5000 4.2000 0.4081
0.5000 4.3000 0.4130
0.5000 4.4000 0.4005
0.5000 4.5000 0.4032
0.5000 4.6000 0.4085
0.5000 4.7000 0.4025
0.5000 4.8000 0.3944
0.5000 4.9000 0.4138
0.5000 5.0000 0.4117
0.5000 5.1000 0.4131
0.5000 5.2000 0.4112
0.5000 5.3000 0.4115
0.5000 5.4000 0.4190
0.5000 5.5000 0.4192
0.5000 5.6000 0.4173
0.5000 5.7000 0.4127
0.5000 5.8000 0.4192
0.5000 5.9000 0.4093
0.5000 6.0000 0.4133
0.5000 6.1000 0.4198
0.5000 6.2000 0.4100
0.5000 6.3000 0.4230
0.5000 6.4000 0.4095
0.5000 6.5000 0.4004
0.5000 6.6000 0.4107
0.5000 6.7000 0.4143
0.5000 6.8000 0.4041
0.5000 6.9000 0.4235
0.5000 7.0000 0.4119
0.5000 7.1000 0.4207
0.5000 7.2000 0.4152
0.5000 7.3000 0.4225
0.5000 7.4000 0.4187
0.5000 7.5000 0.4138
0.5000 7.6000 0.4187
0.5000 7.7000 0.4124
0.5000 7.8000 0.4239
0.5000 7.9000 0.4146
0.5000 8.0000 0.4115
0.5000 8.1000 0.4218
0.5000 8.2000 0.4191
0.5000 8.3000 0.4197
0.5000 8.4000 0.4146
0.5000 8.5000 0.4113
0.5000 8.6000 0.4205
0.5000 8.7000 0.4169
0.5000 8.8000 0.4053
0.5000 8.9000 0.4135
0.5000 9.0000 0.4120
0.5000 9.1000 0.4182
0.5000 9.2000 0.4123
0.5000 9.3000 0.4103
0.5000 9.4000 0.4123
0.5000 9.5000 0.4055
0.5000 9.6000 0.4156
0.5000 9.7000 0.4143
0.5000 9.8000 0.4103
0.5000 9.9000 0.4198
0.5000 10.0000 0.4104
0.5000 10.1000 0.4104
0.5000 10.2000 0.4050
0.5000 10.3000 0.4166
0.5000 10.4000 0.4061
0.5000 10.5000 0.4127
0.5000 10.6000 0.4131
0.5000 10.7000 0.4164
0.5000 10.8000 0.3945
0.5000 10.9000 0.4139
0.5000 11.0000 0.4034
0.5000 11.1000 0.4175
0.5000 11.2000 0.4032
0.5000 11.3000 0.4145
0.5000 11.4000 0.4023
0.5000 11.5000 0.4089
0.5000 11.6000 0.4094
0.5000 11.7000 0.4194
0.5000 11.8000 0.4036
0.5000 11.9000 0.4104
0.5000 12.0000 0.4126
0.5000 12.1000 0.4072
0.5000 12.2000 0.3985
0.5000 12.3000 0.3919
0.5000 12.4000 0.4064
0.5000 12.5000 0.4057
0.5000 12.6000 0.4067
0.5000 12.7000 0.3971
0.5000 12.8000 0.4019
0.5000 12.9000 0.4170
0.5000 13.0000 0.4035
0.5000 13.1000 0.4272
0.5000 13.2000 0.4002
0.5000 13.3000 0.4000
0.5000 13.4000 0.4153
0.5000 13.5000 0.4111
0.5000 13.6000 0.3769
0.5000 13.7000 0.3883
0.5000 13.8000 0.4217
0.5000 13.9000 0.3895
0.5000 14.0000 0.4257
0.5000 14.1000 0.4160
0.5000 14.2000 0.3943
